,PEAK,OPS,G,salary_inf,weight,height,age,bats_B,bats_L,bats_R,throws_L,throws_R
0,1,0.7353713768115941,330,382409.17775,180.0,71.0,27,0,0,1,0,1
1,0,0.6040914560770156,111,389285.71413000004,215.0,75.0,26,0,0,1,0,1
2,0,0.5993215704034001,117,286826.01449,185.0,73.0,25,0,0,1,0,1
3,1,0.7172815586967201,2017,9604268.568,220.0,72.0,37,0,1,0,0,1
4,0,0.6915418104945709,409,1723700.8866,205.0,73.0,26,0,1,0,0,1
5,0,0.6065700483091787,121,509500.0,185.0,72.0,25,1,0,0,0,1
6,1,0.7802489729095234,368,1650000.0,260.0,75.0,28,0,1,0,0,1
7,0,0.7072596297688549,139,388325.652768,205.0,72.0,25,0,1,0,0,1
8,1,0.8684472049689441,220,306620.20906,225.0,72.0,29,0,0,1,0,1
9,0,0.634000230204987,134,514936.708938,195.0,74.0,25,0,0,1,0,1
10,1,0.6861917003305178,265,324598.4784,180.0,71.0,27,0,1,0,1,0
11,1,0.5856118332586284,209,853658.5365875,150.0,70.0,29,0,0,1,0,1
12,1,0.6717919874227475,1476,9216589.86,210.0,71.0,32,0,0,1,0,1
13,1,0.6874069923103265,857,1084133.2584000002,165.0,69.0,36,1,0,0,0,1
14,1,0.583069488418597,345,454838.709685,220.0,77.0,28,0,0,1,0,1
15,0,0.7245123107192073,137,288115.246,195.0,73.0,24,0,0,1,0,1
16,0,0.6791289743883355,108,239252.33648000003,178.0,72.0,25,0,0,1,0,1
17,1,0.701430353800909,858,569343.06572,180.0,75.0,34,0,0,1,0,1
18,1,0.7075500770416026,2183,10592103.169812704,184.0,72.0,34,1,0,0,0,1
19,1,0.6222860918027974,501,4012269.93855,200.0,77.0,32,0,0,1,0,1
20,1,0.6830093906966587,414,2650000.0,230.0,73.0,29,0,1,0,0,1
21,1,0.9175644028103045,1633,8909370.198,185.0,75.0,39,0,0,1,0,1
22,0,0.8262595492139655,682,5731704.0,250.0,75.0,29,0,1,0,0,1
23,0,0.747550052687039,228,688336.51995,175.0,72.0,34,0,0,1,0,1
24,1,0.5440991839296925,517,1164556.9622,160.0,66.0,26,0,1,0,0,1
25,1,0.6342857142857143,243,411214.95332500007,170.0,70.0,32,1,0,0,0,1
26,1,0.6788717978428589,390,1053413.840745,165.0,71.0,30,1,0,0,0,1
27,1,0.61062124248497,1523,9757199.325600002,170.0,73.0,37,0,1,0,1,0
28,0,0.7087153972983136,243,440315.83819499996,220.0,74.0,26,0,0,1,0,1
29,1,0.6442982456140351,345,532544.378625,185.0,74.0,28,0,0,1,0,1
30,1,0.7045804639362088,2143,2797202.7975000003,190.0,75.0,37,0,1,0,1,0
31,1,0.7537642885297595,911,1101190.47575,190.0,70.0,32,0,1,0,0,1
32,1,0.5877063679245282,266,1358885.0171,185.0,71.0,28,0,0,1,0,1
33,0,0.7694676767234458,277,662576.6871,215.0,73.0,27,0,0,1,0,1
34,1,0.659274399591211,364,1600711.4279999998,210.0,73.0,32,0,1,0,1,0
35,0,0.7162288035303909,282,581314.8789,195.0,74.0,26,0,1,0,1,0
36,1,0.7377299895441565,556,5500000.0,180.0,69.0,34,0,1,0,0,1
37,0,0.7516129032258064,103,519645.120225,225.0,72.0,23,0,1,0,0,1
38,1,0.5923430880642504,369,520789.69934079994,210.0,73.0,27,0,0,1,0,1
39,0,0.7733270115496025,118,900360.14375,185.0,75.0,32,0,0,1,0,1
40,1,0.5813063120549273,321,1166032.9527,185.0,73.0,30,0,0,1,0,1
41,1,0.754159272404614,1169,202874.049,182.0,71.0,35,0,0,1,0,1
42,1,0.6891537667698658,250,524050.63299,205.0,73.0,25,0,1,0,0,1
43,0,0.8051707729724014,593,1214788.7322,185.0,74.0,36,1,0,0,0,1
44,1,0.650078586296249,733,7888111.8889500005,190.0,74.0,30,0,0,1,0,1
45,1,0.7445945945945946,1314,5016256.3845,170.0,72.0,37,0,0,1,0,1
46,1,0.6418483927178343,1659,4630969.608,190.0,71.0,38,0,0,1,0,1
47,0,0.8140240992603198,137,288115.246,180.0,69.0,27,0,0,1,0,1
48,1,0.6857287449392713,587,4207858.0467,210.0,71.0,27,0,1,0,0,1
49,1,0.6157505285412261,585,3548795.943,205.0,70.0,33,0,0,1,0,1
50,0,0.7468838241226301,105,1090909.091025,205.0,71.0,26,1,0,0,0,1
51,0,0.7707866156619618,501,734506.5036,160.0,69.0,31,1,0,0,0,1
52,0,0.8594202898550725,1204,652173.913,165.0,71.0,35,1,0,0,0,1
53,1,0.8420600018538162,2111,20328215.984,195.0,72.0,36,0,0,1,0,1
54,0,0.9774804905239687,2183,2492196.8779,175.0,74.0,40,0,1,0,1,0
55,1,0.798819094737462,1805,1282527.880825,183.0,74.0,36,0,0,1,0,1
56,0,0.7905165813756699,104,449233.62732299994,220.0,74.0,27,0,0,1,0,1
57,0,0.7593563136410818,112,447552.4476,215.0,73.0,28,0,1,0,0,1
58,1,0.6968647107965993,771,1652639.6331,225.0,75.0,33,0,0,1,0,1
59,0,0.7619162120941481,292,406564.31968,190.0,76.0,23,0,0,1,0,1
60,0,0.668671344247689,105,292436.97469,200.0,75.0,29,1,0,0,0,1
61,1,0.6252276041801503,561,4181184.668,250.0,74.0,37,0,0,1,0,1
62,0,0.76234962205898,218,489878.542395,185.0,71.0,27,1,0,0,0,1
63,0,0.7678523653875233,118,1215629.5221,225.0,75.0,29,1,0,0,0,1
64,1,0.8150372825186413,1268,2264727.774011247,200.0,73.0,31,0,0,1,0,1
65,1,0.5936507936507937,280,458234.4427116,190.0,72.0,25,0,0,1,0,1
66,1,0.5584317101164126,900,5665236.049,200.0,73.0,34,0,0,1,0,1
67,1,0.6664363896483132,740,1369399.83075,175.0,70.0,30,0,0,1,0,1
68,0,0.8851217948717949,749,5158729.75984127,185.0,75.0,30,0,0,1,0,1
69,0,0.6118397731300957,110,166730.401499,175.0,72.0,24,1,0,0,0,1
70,1,0.615178944764754,679,4268563.807999999,190.0,72.0,32,0,0,1,0,1
71,0,0.797851333176782,299,451169.18854999996,215.0,72.0,25,0,1,0,0,1
72,1,0.638998793094401,1088,653543.30725,183.0,72.0,36,1,0,0,0,1
73,0,0.7744459152156943,116,171653.54335,170.0,71.0,24,1,0,0,0,1
74,1,0.727891364987892,739,1905770.2485,180.0,72.0,31,0,0,1,0,1
75,0,0.7329280014305832,141,5082053.996,170.0,71.0,32,0,0,1,0,1
76,1,0.7026140313541889,966,19341929.755,210.0,74.0,33,0,0,1,0,1
77,1,0.7586530208941875,2081,1544626.0560908879,190.0,73.0,38,0,0,1,0,1
78,1,0.749364568706564,386,388785.04678000003,180.0,70.0,25,0,1,0,1,0
79,1,0.5984272688329968,739,4233206.58915,190.0,72.0,28,0,0,1,0,1
80,1,0.7944148731003626,2028,1838028.1687199997,180.0,73.0,36,0,0,1,0,1
81,1,0.6708128197843843,979,5775729.6456,170.0,70.0,33,0,0,1,0,1
82,1,0.7732955216826185,1085,6968641.115,200.0,74.0,32,0,0,1,0,1
83,1,0.8165045528015692,1468,17935428.571473412,190.0,73.0,34,0,0,1,0,1
84,1,0.6065339002013873,1488,6062283.7371000005,190.0,73.0,34,0,0,1,0,1
85,1,0.6285957400087835,399,952380.952,195.0,73.0,32,1,0,0,0,1
86,1,0.49356337864528876,532,855310.05,160.0,66.0,31,0,0,1,0,1
87,1,0.7587378933872233,1041,868306.8015000001,210.0,69.0,32,0,0,1,0,1
88,1,0.7488341074859627,1765,10909090.912650002,180.0,73.0,36,0,0,1,0,1
89,1,0.8792533233276157,2643,18000000.0,220.0,71.0,37,0,0,1,0,1
90,1,0.7588689681480069,683,3658949.7471000007,180.0,70.0,30,0,1,0,1,0
91,1,0.7689504373177842,968,985401.4599,150.0,71.0,36,0,0,1,0,1
92,1,0.38488372093023254,342,1234018.89955,195.0,75.0,37,0,0,1,0,1
93,1,0.7031151722692013,627,1133603.2386,185.0,73.0,31,1,0,0,0,1
94,1,0.7043041606886657,218,600333.5187,185.0,71.0,32,0,0,1,0,1
95,1,0.559843137254902,250,328627.8939525001,185.0,74.0,24,0,1,0,0,1
96,1,0.7059463684463685,477,846774.1935625,185.0,73.0,36,0,1,0,1,0
97,1,0.9593969056329767,1618,8537127.615999999,220.0,73.0,35,1,0,0,1,0
98,0,0.7773793668681488,263,515853.6584145,210.0,74.0,28,0,1,0,1,0
99,0,0.817996141420885,682,1270072.99276,150.0,69.0,30,1,0,0,0,1
100,1,0.592442645074224,583,2380952.38,195.0,72.0,28,0,0,1,0,1
101,0,0.8761246078800844,294,1759082.21765,165.0,72.0,31,0,0,1,0,1
102,0,0.6729482780005789,216,1660899.654,205.0,72.0,30,1,0,0,0,1
103,1,0.5822970911938883,668,1512605.0415,200.0,71.0,33,0,0,1,0,1
104,1,0.5951075231836117,905,927038.6261999999,205.0,70.0,31,0,0,1,0,1
105,1,0.7440959006676233,217,1306620.20875,220.0,74.0,31,1,0,0,0,1
106,1,0.7856592610852617,1605,9486166.011000002,215.0,75.0,38,0,0,1,0,1
107,0,0.7676873335869152,139,431974.58966,190.0,76.0,27,0,1,0,0,1
108,1,0.6657160202741814,2800,5962373.3703,185.0,71.0,42,0,0,1,0,1
109,1,0.7271022994548826,1001,6877579.09375,205.0,74.0,37,0,0,1,0,1
110,1,0.7356421356421357,738,6937062.9378,192.0,73.0,29,0,1,0,0,1
111,0,0.8626110390258509,106,860759.4938,195.0,70.0,31,1,0,0,0,1
112,1,0.6200268489138394,793,3900000.0,175.0,71.0,33,0,1,0,1,0
113,1,0.6284878863826233,218,952885.12425,220.0,71.0,33,0,0,1,0,1
114,0,0.7336682759613246,123,350677.1205,190.0,72.0,29,0,0,1,0,1
115,1,0.7674576271186441,1159,6050420.166,170.0,72.0,34,0,0,1,0,1
116,0,0.6630283648498332,227,1566433.5666,200.0,71.0,32,0,0,1,0,1
117,1,0.6887363245302979,390,699386.50305,190.0,74.0,33,0,0,1,0,1
118,1,0.6812713984522427,1102,1398601.3987500002,220.0,75.0,36,1,0,0,0,1
119,1,0.6939032055311125,1357,1253649.635095,195.0,75.0,36,0,1,0,1,0
120,1,0.6586227316949367,380,525261.3239175,225.0,76.0,27,0,1,0,1,0
121,1,0.6109864618192882,216,975609.7561000001,198.0,74.0,34,0,0,1,0,1
122,1,0.7478260869565218,2253,1693251.5337,190.0,74.0,40,0,1,0,0,1
123,0,0.5956212522660717,146,504878.04866100004,215.0,75.0,28,0,1,0,1,0
124,1,1.0447897397952892,2972,17984335.74039594,185.0,73.0,43,0,1,0,1,0
125,0,0.7532378142997612,279,453534.90459999995,210.0,70.0,26,1,0,0,0,1
126,1,0.753604647662623,1581,278745.6446,210.0,75.0,37,1,0,0,0,1
127,0,0.6066720837847599,254,262773.72264,170.0,69.0,30,0,0,1,0,1
128,1,0.6828332880803694,861,1114723.6409999998,190.0,74.0,35,0,0,1,0,1
129,1,0.6748667684314829,2035,1709034.193576871,195.0,74.0,42,0,0,1,0,1
130,1,0.7403446715748776,1583,10164107.992,180.0,70.0,35,0,0,1,0,1
131,0,0.6488783005757395,137,660247.593,195.0,72.0,24,0,1,0,1,0
132,0,0.7218390804597701,108,394047.61889000004,230.0,76.0,28,1,0,0,0,1
133,1,0.65550202920781,506,4152249.1350000002,190.0,74.0,30,0,0,1,0,1
134,1,0.7222935913905706,1391,1304347.826,170.0,71.0,38,0,0,1,0,1
135,0,0.9022002200220022,108,479553.903265,175.0,75.0,29,0,1,0,1,0
136,0,0.788917525773196,815,913494.8097,185.0,75.0,30,0,1,0,1,0
137,1,0.6805095826951096,607,2000000.0,175.0,73.0,29,0,0,1,0,1
138,1,0.6744099471372198,1037,13688212.923,190.0,71.0,32,0,1,0,0,1
139,1,0.774865885479976,492,7832167.833000001,215.0,72.0,31,1,0,0,0,1
140,1,0.7807310138640561,882,2225806.45165,185.0,72.0,30,0,0,1,0,1
141,1,0.5384576391470379,409,844682.4791400001,185.0,71.0,30,0,1,0,0,1
142,1,0.5890353630466625,495,586956.5216999999,180.0,69.0,34,0,1,0,0,1
143,1,0.6747644438954425,276,396774.193555,210.0,75.0,27,0,0,1,0,1
144,1,0.7204988569410629,376,650095.602175,180.0,72.0,29,0,1,0,0,1
145,0,0.6941800206606279,149,228233.305125,180.0,70.0,27,0,0,1,0,1
146,1,0.8593458596059426,707,5949367.089500001,200.0,74.0,28,0,1,0,1,0
147,0,0.8669437999484403,229,1566433.5666,235.0,76.0,34,0,1,0,0,1
148,1,0.7474205193897753,840,2657439.4464000002,215.0,76.0,33,0,1,0,1,0
149,1,0.8146945088940449,654,1267605.6335999998,210.0,74.0,33,0,0,1,0,1
150,1,0.7460200746965453,2605,4567474.0485000005,185.0,72.0,40,0,1,0,0,1
151,0,0.7402338180781294,110,207612.45675,210.0,75.0,27,0,1,0,1,0
152,0,0.6921305260583333,113,444236.5888235,210.0,75.0,24,1,0,0,0,1
153,1,0.5323529411764706,499,181038.062286,175.0,69.0,28,0,1,0,0,1
154,1,0.6916569352536655,876,1446059.6789625,200.0,75.0,33,0,1,0,0,1
155,1,0.7897459201857716,592,4609843.936,205.0,74.0,29,0,1,0,1,0
156,1,0.733287909758498,1252,4082230.835973642,178.0,72.0,35,0,0,1,0,1
157,1,0.6644820529837951,977,710059.1715,165.0,70.0,35,0,0,1,0,1
158,1,0.7894820212260415,906,7114624.508250001,200.0,73.0,35,0,0,1,0,1
159,1,0.7704500063740279,397,448540.70652,220.0,74.0,29,0,1,0,1,0
160,0,0.7903805086390991,127,132042.2535,185.0,71.0,27,0,0,1,0,1
161,0,0.8045992469069392,220,397212.54355500004,175.0,72.0,26,1,0,0,0,1
162,1,0.7316992198306866,254,417767.1067,220.0,75.0,28,0,1,0,1,0
163,0,0.7964830121282604,247,339416.05841,185.0,72.0,25,0,0,1,0,1
164,0,0.6364197530864197,106,277809.14746500005,235.0,72.0,23,0,1,0,0,1
165,1,0.6339934593023255,283,557667.9339,225.0,77.0,27,0,1,0,1,0
166,1,0.6823757922715191,527,1560613.0973999999,195.0,74.0,34,0,0,1,0,1
167,0,0.7903840840011054,744,1052631.5787,140.0,70.0,28,1,0,0,0,1
168,0,0.6124267888973771,111,340188.99393,195.0,71.0,27,0,1,0,0,1
169,1,0.7074850466767286,219,354330.70875,170.0,72.0,30,0,0,1,0,1
170,1,0.7994638113800278,1612,4875267.285,210.0,76.0,32,0,0,1,0,1
171,0,0.5937799808122801,120,668834.1845999999,200.0,72.0,30,0,0,1,0,1
172,0,0.80103668261563,115,423913.04344999994,230.0,76.0,30,0,0,1,0,1
173,1,0.6518601110992416,919,6695278.966999999,245.0,75.0,33,0,0,1,0,1
174,1,0.7326105582130459,2034,1718978.10227,185.0,72.0,37,0,1,0,1,0
175,1,0.7288051181856492,957,4129554.6549,190.0,74.0,33,0,0,1,0,1
176,0,0.7141743522178305,272,1533101.0453,170.0,70.0,30,0,0,1,0,1
177,1,0.8832833832833833,1093,2020905.92335,220.0,75.0,36,0,0,1,0,1
178,1,0.5526515151515152,213,244741.87376,200.0,74.0,28,0,1,0,1,0
179,1,0.6615921232725506,342,480463.09683,180.0,71.0,27,0,0,1,0,1
180,1,0.902579204863915,1587,8893830.351358162,175.0,74.0,38,0,0,1,0,1
181,1,0.7111989238271397,1334,7142857.140000001,190.0,72.0,37,0,1,0,0,1
182,1,0.6816309047891,1428,7832167.833000001,235.0,76.0,33,0,0,1,0,1
183,1,0.713335755937361,276,431974.58966,195.0,73.0,24,0,1,0,0,1
184,0,0.7740166149534582,128,327010.80421000003,180.0,70.0,27,0,0,1,0,1
185,1,0.781629455542499,766,1064516.1290499999,186.0,73.0,31,0,1,0,1,0
186,1,0.713129913588876,1225,6750379.747848,260.0,72.0,29,0,0,1,0,1
187,1,0.6863094608679889,1921,2591856.4489383125,160.0,70.0,40,0,1,0,1,0
188,1,0.7574103440673419,1160,8111533.584,245.0,72.0,37,0,0,1,0,1
189,1,0.8130050742341666,567,5296671.48915,200.0,74.0,31,0,0,1,0,1
190,1,0.6116084496048395,1360,985401.4599,170.0,76.0,37,0,0,1,0,1
191,1,0.6962567843092209,382,1270513.499,205.0,74.0,32,0,0,1,0,1
192,1,0.8004173541431477,1426,14000000.0,210.0,70.0,32,1,0,0,1,0
193,1,0.6568825910931174,1643,2222833.5631,195.0,70.0,36,0,0,1,0,1
194,1,0.7419152276295133,829,1067140.9519999998,225.0,73.0,37,0,0,1,0,1
195,1,0.8483883772626231,593,3903083.699455,220.0,73.0,29,0,0,1,0,1
196,1,0.5800695923250861,561,4942965.77775,225.0,69.0,31,1,0,0,0,1
197,0,0.6557211925866238,126,391304.3478,210.0,73.0,27,0,1,0,1,0
198,1,0.7945625702510304,1714,11188811.190000001,210.0,74.0,36,0,0,1,0,1
199,1,0.8621205855595071,1412,5153374.233,200.0,72.0,35,1,0,0,0,1
200,1,0.5347468130311614,554,1599429.7935000001,160.0,69.0,31,1,0,0,0,1
201,1,0.680321493388644,668,809815.9509,150.0,68.0,35,1,0,0,1,0
202,1,0.9313165940887612,1344,4789915.96475,240.0,76.0,35,0,0,1,0,1
203,1,0.7879916523773445,561,3916083.9165000003,205.0,75.0,27,0,0,1,0,1
204,1,0.7166887669799147,2232,1951672.8621249998,170.0,72.0,40,0,1,0,0,1
205,1,0.6412972502357976,353,401574.80325,155.0,70.0,28,1,0,0,0,1
206,0,0.8326219945938256,324,1181102.3625,170.0,72.0,32,0,0,1,1,0
207,1,0.660417503010839,1094,2874564.4592500003,175.0,70.0,38,0,0,1,0,1
208,0,0.8205178246161853,582,2500000.0,245.0,76.0,30,0,0,1,0,1
209,1,0.6975806451612903,1859,881057.2685,205.0,74.0,37,0,0,1,0,1
210,1,0.6831239481820672,1974,9719626.1695,215.0,75.0,37,0,0,1,0,1
211,1,0.577075720336231,269,396158.46325000003,172.0,73.0,22,0,1,0,0,1
212,0,0.6406200756381972,101,235514.0187225,200.0,72.0,25,1,0,0,0,1
213,1,0.7457585629851171,1122,4630969.608,215.0,76.0,33,0,1,0,0,1
214,0,0.6028039802437433,106,1445121.9508775,170.0,69.0,28,1,0,0,0,1
215,1,0.6711868503746676,490,724570.3666499999,210.0,73.0,27,0,0,1,0,1
216,0,0.6132024574044102,116,190140.84504,162.0,71.0,25,1,0,0,0,1
217,1,0.7324882815078892,1252,6993006.99375,145.0,71.0,34,1,0,0,0,1
218,1,0.7221770737905967,1585,3686635.944,175.0,73.0,38,0,0,1,0,1
219,1,0.7447399427705773,336,3700000.0,220.0,70.0,29,0,0,1,0,1
220,1,0.6549964850989498,224,1270513.499,190.0,71.0,32,0,0,1,0,1
221,1,0.7810359850489816,730,4052098.407,170.0,72.0,33,0,1,0,0,1
222,1,0.5789187227866474,269,1811023.6224999998,170.0,73.0,26,0,0,1,0,1
223,0,0.7341772151898734,113,426168.2243550001,170.0,73.0,29,1,0,0,0,1
224,1,0.698099173553719,688,6358695.651749999,165.0,73.0,29,1,0,0,0,1
225,1,0.6358580508474576,418,1974210.7611999998,195.0,72.0,28,0,0,1,0,1
226,1,0.6650693720426658,498,948387.09679,192.0,71.0,35,0,0,1,0,1
227,1,0.6986762203593562,231,3500000.0,210.0,73.0,30,0,0,1,0,1
228,0,0.8838625589683848,599,27328046.0,220.0,70.0,31,0,0,1,0,1
229,1,0.7236028368794326,1833,3234200.74295,185.0,70.0,37,0,0,1,0,1
230,1,0.6362900715841893,2060,1784386.6167999997,195.0,73.0,37,0,1,0,0,1
231,0,0.699958576019281,101,185022.026385,210.0,74.0,25,0,0,1,0,1
232,1,0.6375881071382801,539,2006502.5537999999,170.0,71.0,30,0,1,0,1,0
233,1,0.8446456891994392,1263,940766.5503,215.0,73.0,35,0,1,0,0,1
234,1,0.7666718823345329,374,2725000.0,190.0,74.0,28,0,1,0,0,1
235,0,0.7891905737704918,133,431950.844772,235.0,77.0,26,0,1,0,1,0
236,0,0.7365901878154102,344,308013.93728300004,175.0,71.0,26,0,0,1,0,1
237,1,0.8128863910076274,246,457308.24879,190.0,73.0,29,0,1,0,1,0
238,1,0.7128393764231915,393,442396.31328,210.0,74.0,27,1,0,0,0,1
239,1,0.7837866482955975,1303,1011904.7615,190.0,74.0,37,0,0,1,0,1
240,1,0.6829481447803794,549,3809523.808,195.0,74.0,33,0,0,1,0,1
241,0,0.8470806302131604,314,672897.1963500001,200.0,74.0,35,0,1,0,0,1
242,1,0.8400554400554401,1658,5110132.1573,175.0,74.0,36,0,0,1,0,1
243,0,0.7676796738210125,404,1146020.76126,200.0,76.0,30,0,0,1,0,1
244,0,0.8409313725490196,102,203460.20761500002,180.0,72.0,25,0,0,1,0,1
245,1,0.8215162988272231,1059,1197105.643668,205.0,80.0,35,1,0,0,0,1
246,1,0.8908680153486366,1769,8558422.08567561,190.0,74.0,34,0,1,0,1,0
247,1,0.6702905208141933,1645,1658986.1748,175.0,72.0,35,0,0,1,0,1
248,1,0.7838192683810213,401,2536708.86114,195.0,72.0,30,0,1,0,0,1
249,0,0.9279911577783918,395,1400696.864115,190.0,72.0,31,0,0,1,0,1
250,0,0.7778985507246376,353,607287.4492500001,170.0,74.0,29,0,1,0,1,0
251,1,0.6255949105582748,982,5364372.468375,170.0,72.0,33,1,0,0,0,1
252,1,0.6530991701720215,288,1083870.96776,185.0,73.0,27,0,0,1,0,1
253,1,0.6698267006689733,1081,1532846.7154,175.0,71.0,34,1,0,0,1,0
254,0,0.6548127149955408,110,259141.104288,170.0,70.0,25,0,0,1,0,1
255,0,0.8575289575289575,271,502787.45632700005,210.0,75.0,27,0,1,0,1,0
256,1,0.760931899641577,2225,676056.33792,155.0,74.0,39,0,0,1,0,1
257,0,0.5004158082745847,131,557620.8177499999,160.0,66.0,28,0,0,1,0,1
258,1,0.7258542637138478,1740,2023809.523,205.0,73.0,40,0,0,1,0,1
259,0,0.8108789091448051,103,440165.062,190.0,70.0,30,1,0,0,0,1
260,1,0.7057469899193848,655,1490683.2303000002,195.0,71.0,35,0,0,1,0,1
261,1,0.682217536461079,1777,1329902.189843084,165.0,74.0,37,0,1,0,1,0
262,1,0.63376445715707,501,2401574.80375,200.0,75.0,28,0,1,0,0,1
263,1,0.7446536932412638,644,1651667.5487,200.0,72.0,29,0,1,0,0,1
264,1,0.7476013526798002,697,2503067.4846,150.0,67.0,33,1,0,0,0,1
265,1,0.5701683637463455,321,490706.31961999997,175.0,71.0,32,0,1,0,1,0
266,1,0.8031998209890356,649,782608.6956,185.0,74.0,32,0,0,1,0,1
